,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling
819,946061,10091964,29,67637,78724,233,846042,783941,30.015718908955364,943289.56,10041543.91
820,945515,10086726,28,67637,78665,231,846042,783355,28.011789181716523,943316.06,10042258.11
821,945088,10082602,28,67637,78694,229,846042,783642,26.457356737772542,943342.23,10042968.79
822,944666,10078415,28,67637,78709,227,846042,783788,25.288734262404894,943367.98,10043674.12
823,944241,10074317,28,67637,78709,225,846042,783788,24.429513659766634,943393.79,10044379.83
824,943818,10070118,27,67637,78709,223,846042,783788,23.947135244824977,943419.63,10045084.51
825,943390,10065969,27,67637,78709,221,846042,783788,23.403533251800553,943355.1,10044825.82
826,942962,10061893,27,67637,78692,219,846042,783625,22.999204709168435,943292.12,10044582.35
827,942580,10058060,27,67637,78676,217,846042,783464,22.96368924616204,943229.89,10044343.96
828,942172,10054083,26,67637,78660,215,846042,783305,22.721715778349633,943167.95,10044109.67
829,941762,10050098,26,67637,78644,213,846042,783147,22.541286833762225,943106.55,10043880.14
830,941374,10046327,26,67637,78660,211,846042,783303,22.620250839607383,943046.03,10043658.48
831,940972,10042426,26,67637,78660,209,846042,783303,22.60804527256268,942986.17,10043443.15
832,940576,10038569,25,67637,78660,207,846042,783303,22.52746252585058,942926.7,10043231.87
833,940180,10034736,25,67637,78660,206,846042,783303,22.478930227721268,942867.88,10043026.25
834,939791,10030956,25,67637,78645,205,846042,783148,22.43062624221952,942809.63,10042826.12
835,939425,10027388,25,67637,78647,204,846042,783161,22.326774374118667,942752.23,10042633.23
836,939040,10023681,25,67637,78614,203,846042,782841,22.578414113922335,942695.22,10042445.14
837,938668,10020006,25,67637,78613,202,846042,782825,22.436721322828557,942638.92,10042262.44
838,938287,10016365,25,67637,78613,201,846042,782824,22.577540992121417,942583.19,10042084.99
839,937928,10012925,24,67637,78645,200,846042,783151,26.945577443290606,942528.1,10041914.37
840,937516,10008978,24,67637,78629,199,846042,782985,26.042516415801288,942473.04,10041743.82
841,937122,10005121,24,67637,78612,198,846042,782821,25.281887311850966,942418.22,10041575.2
842,936728,10001303,24,67637,78596,197,846042,782658,24.711415483888224,942363.58,10041408.4
843,936338,9997522,24,67637,78579,196,846042,782497,24.283561612916166,942309.21,10041243.59
844,944982,10090342,24,68306,79367,196,854483,790321,30.508566968990984,942345.16,10042044.9
845,944462,10085338,24,68306,79286,195,854483,789539,28.38212599759117,942380.25,10042838.34
846,944035,10081177,24,68306,79273,194,854483,789397,26.788010928788278,942415.48,10043632.45
847,943626,10077106,23,68306,79318,193,854483,789851,25.582633506764907,942450.87,10044427.19
848,943197,10072899,23,68306,79318,192,854483,789851,24.829832272930823,942396.29,10044258.15
849,942759,10068630,23,68306,79335,191,854483,790020,24.193802776126688,942342.75,10044100.75
850,942368,10064828,23,68306,79301,190,854483,789685,23.63672036854003,942290.06,10043949.49
851,941992,10061200,23,68306,79267,189,854483,789353,23.23277104563579,942237.98,10043805.41
852,941618,10057511,23,68306,79268,188,854483,789360,22.996006855655413,942186.85,10043669.25
853,941231,10053842,23,68306,79252,187,854483,789204,22.74700514174156,942136.29,10043540.12
854,940861,10050199,23,68306,79251,186,854483,789198,22.554517309081938,942086.46,10043417.57
855,940503,10046615,22,68306,79284,185,854483,789520,22.41050802216115,942037.44,10043301.29
856,940126,10042917,22,68306,79300,184,854483,789684,22.379309588049434,941988.82,10043188.9
857,939756,10039437,22,68306,79300,183,854483,789684,22.471982191037075,941940.98,10043084.5
858,939369,10035651,22,68306,79300,182,854483,789684,22.324574878571923,941893.58,10042983.92
859,939012,10032215,22,68306,79300,181,854483,789684,22.305931158928942,941846.71,10042888.92
860,938681,10028994,22,68306,79300,180,854483,789684,22.229448369196707,941800.78,10042802.95
861,938294,10025315,22,68306,79315,179,854483,789839,22.42208627689753,941755.21,10042721.31
862,937955,10022019,22,68306,79300,178,854483,789683,22.270180485613253,941710.58,10042646.88
863,937584,10018414,21,68306,79284,177,854483,789528,22.20263536420994,941666.03,10042574.86
864,937223,10014896,21,68306,79284,176,854483,789531,22.124198745379676,941622.14,10042507.78
865,936882,10011553,21,68306,79315,175,854483,789841,22.343149059034758,941578.9,10042447.21
866,936505,10007956,21,68306,79284,174,854483,789529,22.424028460942736,941536.0,10042390.12
867,936123,10004233,21,68306,79253,173,854483,789219,22.401354679040384,941493.29,10042334.36
868,935744,10000546,21,68306,79223,172,854483,788913,22.515301723566004,941450.91,10042281.68
869,935366,9996896,21,68306,79192,171,854483,788609,22.529333435531647,941408.69,10042230.38
870,944013,10089965,21,68994,79953,171,863023,796202,28.96410385746797,941456.81,10043147.23
871,943497,10084929,20,68994,79908,170,863023,795748,27.285577893100978,941413.6,10043088.06
872,943088,10081045,20,68994,79860,169,863023,795263,25.919603560941834,941371.83,10043043.82
873,942702,10077245,20,68994,79872,168,863023,795391,24.939702670706374,941330.58,10043004.19
874,942292,10073147,20,68994,79889,167,863023,795563,24.160274385228732,941289.67,10042966.76
875,941879,10069119,20,68994,79887,166,863023,795546,23.572948683832323,941249.04,10042932.65
876,941470,10065107,20,68994,79853,165,863023,795209,23.2352670684298,941208.8,10042901.6
877,941064,10061209,20,68994,79819,164,863023,794876,22.926450301322348,941168.97,10042874.82
878,940694,10057511,20,68994,79820,163,863023,794881,22.76626629742033,941129.68,10042851.93
879,940303,10053698,19,68994,79820,162,863023,794886,22.71755686592239,941090.76,10042832.48
880,939923,10049905,19,68994,79805,161,863023,794731,22.496500982775125,941052.32,10042817.12
881,939553,10046309,19,68994,79789,160,863023,794578,22.9102447999825,941014.51,10042806.97
882,939159,10042555,19,68994,79805,159,863023,794728,22.929502938409268,940976.87,10042798.59
883,938790,10038878,19,68994,79774,158,863023,794414,22.768555775235523,940939.67,10042794.11
884,938414,10035240,19,68994,79743,157,863023,794103,22.61089959004733,940902.81,10042793.47
885,938043,10031626,19,68994,79728,156,863023,793963,22.48971214325823,940866.34,10042796.43
886,937689,10028186,19,68994,79710,155,863023,793795,22.43642661952097,940830.46,10042804.49
887,937322,10024632,19,68994,79679,154,863023,793477,22.361525196029056,940794.94,10042816.14
888,936966,10021090,18,68994,79647,153,863023,793162,22.303891016488137,940759.61,10042828.21
889,936585,10017415,18,68994,79616,152,863023,792851,22.228213596093212,940724.27,10042840.42
890,936232,10013956,18,68994,79614,151,863023,792834,22.23366019706991,940689.06,10042852.87
891,935887,10010715,18,68994,79630,150,863023,792995,25.3652039123219,940653.84,10042865.83
892,935511,10007003,18,68994,79630,149,863023,792995,24.88104579138428,940618.98,10042882.12
893,935147,10003333,18,68994,79630,148,863023,792995,24.446498629252496,940584.32,10042898.55
894,934769,9999697,18,68994,79630,147,863023,792995,24.049159686225085,940549.71,10042915.57
895,943402,10092914,18,69683,80429,147,871662,800930,30.224973805554537,940515.21,10042938.13
896,942900,10088030,17,69683,80366,146,871662,800310,28.200573172594087,940480.94,10042963.64
897,942486,10083902,17,69683,80322,145,871662,799853,26.65171028917668,940446.93,10042991.69
898,942100,10080037,17,69683,80324,144,871662,799871,25.493310530595316,940413.49,10043024.03
899,941688,10075994,17,69683,80323,143,871662,799869,24.61132038928398,940380.1,10043056.76
900,941274,10071999,17,69683,80323,142,871662,799864,23.987902056668865,940346.96,10043091.85
901,940876,10068007,17,69683,80308,141,871662,799717,23.48279358634889,940314.17,10043128.82
902,940503,10064442,17,69683,80323,140,871662,799863,23.09357667124315,940281.7,10043169.66
